DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ID,47,409828.0851,114684.4043,97518.61702
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ND,58,313124.0172,114388.0862,110063.5862
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NM,61,364485.3443,128108.7705,120918.3279
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",UT,79,396144.4557,143286.7468,130381.5317
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OR,81,567117.0247,201253.5185,187900.1605
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",KS,85,467755.6118,103626.3647,98600.83529
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WV,88,296286.0455,114355.5909,92895.72727
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",DE,107,313195.2897,141443.514,123668.2243
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IA,116,397976.1897,122956.7241,112432.8276
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NE,118,419384.5254,119146.2966,111709.6864
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CT,141,572651.5461,178184.4184,154434.7801
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",DC,149,609053.1141,168400.3893,139888.8658
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MS,154,418654.8052,97655.64935,90682.81169
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WI,168,469552.5179,155204.8571,124967.2857
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WA,175,581367.0857,170901.2343,145875.0743
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NV,187,734292.0374,124596.4385,116490.2139
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",LA,203,410344.6601,118733.3645,104097.9212
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CO,205,688393.5707,137363.161,125721.4
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AR,208,338382.6875,92630.38462,85098.80769
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OK,241,619385.0996,121811.7012,106057.5519
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",KY,287,421755.9617,120499,110354.5227
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",SC,287,540855.0418,128064.1882,111652.6516
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AZ,301,531280.4053,133523.5116,115940.0698
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MD,302,158100.4205,145940.4338,140269.5695
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AL,306,591340.6732,118857.0915,108205.719
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MN,306,433811.9869,162550.7582,145326.6405
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MA,346,508548.5058,187071.5665,175151.4075
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IN,359,487769.8273,126886.9582,112861.0836
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",VA,409,592862.3056,160727.2274,130786.555
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TN,478,449595.1444,107337.6193,101055.7008
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MO,494,461686.0385,126264.5202,121929.8603
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NC,537,429804.0149,139521.4171,119832.6425
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NJ,552,768410.9783,144806.904,126966.6667
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",GA,555,637125.2775,135940.0955,123553.9153
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IL,602,512295.1811,142609.6395,124478.5897
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MI,607,377597.4679,135176.0017,124919.6145
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OH,643,483967.4479,125392.9145,110646.1555
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",PA,971,857766.9907,149259.0319,129081.3594
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TX,1169,621365.272,134431.2395,118291.7246
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY,1217,679901.0082,192180.1422,171238.2178
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",FL,1222,697030.3298,124959.0401,113468.7913
"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CA,1320,1089525.136,200879.4114,188963.7652
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",HI,19,354308.8421,157610.8421,92703.05263
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MT,19,222543.7368,69669.05263,68654.1579
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SD,20,221678.7,71450.5,69273.3
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AK,23,448820.3044,95639.86957,93401.69565
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NH,29,347513.931,106804.9655,101025.3448
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",RI,29,350410.4138,110335.8276,95584.24138
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ME,34,343269.2941,124721.0882,106454.5588
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ND,35,212280.8,71880.28571,69128.2
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OR,43,318227.6279,104995.7907,97183.48837
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ID,44,219235.5909,60293.04546,59411.68182
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",UT,54,207477.2222,63890.5,54384.03704
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NM,59,271305.1525,77617.94915,67898.0678
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DE,63,201161.2857,87579.20635,67871.39683
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IA,76,213907.8947,63735.09211,58725.81579
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NE,77,257625.5195,70727.33766,66579.96104
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WV,78,200455.2949,69520.16667,62757
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KS,90,307804.2333,64501.31111,59019.41111
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CT,102,385077.5098,112511.4706,98201.03922
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DC,108,375567.6852,109759.3241,88959.75
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WA,132,359812.1818,92481.83333,76715.68939
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AR,141,215862.2411,55174.53192,51534.46099
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CO,144,397282.25,78159.71528,72829.27083
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MN,164,276403.4817,89630.17683,82621.15244
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AZ,189,313372.6878,71741.00529,65317.77249
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WI,196,224878.3214,79007.69388,66970.40306
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MS,202,270088.1584,59453.74257,54242.85644
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OK,208,350068.2981,65758.45673,60035.6875
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",LA,230,253706.5826,67375.45652,57953.5
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NV,230,509513.587,72482.18696,65802.29565
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SC,248,303682.6653,68556.80242,61719.18548
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AL,271,349466.8007,64924.90775,59291.16974
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MA,283,246437.3852,96569.80565,90197.81272
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MD,314,106325.0382,98015.38535,93973.43312
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",VA,315,302663.5873,84454.33016,65838.91746
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KY,343,266680.4985,70802.81633,62665.93878
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MO,355,302367.5239,73254.92113,68267.24225
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IN,380,243379.7684,65324.69211,60704.31316
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NC,414,223463.715,74058.09179,64277.66184
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",GA,458,312980.738,71810.96507,63663.55677
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TN,467,243007.8009,60262.1606,53493.83726
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IL,568,265962.4225,73207.34859,65598.84683
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",PA,574,401518.1916,77382.11324,68176.52962
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MI,615,220624.3512,76622.97073,69362.70569
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OH,625,246153.496,66068.5456,58859.888
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NJ,652,472751.3466,82015.69172,73454.68558
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TX,1067,365732.7217,68876.89035,61802.96158
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY,1096,413792.3203,118303.9872,105207.2628
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",FL,1122,390661.6996,67577.61141,59976.63904
"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CA,1369,647891.9087,111734.3163,103746.0745
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,UT,12,465019.3333,127026.5,71718.58333
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NE,14,565278.9286,148308.3571,78289.28571
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CO,16,678321.5,101621.4375,95356.625
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,VA,17,428874.3529,109641.6471,76405.94118
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,WA,17,443172.8824,169826.7059,71845.17647
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,KY,19,518016.8421,90328.57895,83823.10526
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,SC,20,413024.4,112676.6,85737.3
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,KS,21,492088.7143,85780.09524,58182.42857
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,OK,23,475395.8261,70600.69565,65931.56522
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,AL,24,442323.0417,81499.16667,68185.625
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,IN,24,719327.0833,110548.4583,102612.4167
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,DC,28,704800.5714,166746.9286,93187.03571
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,WI,33,791397.3939,192503.6364,143640.6061
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MN,35,370482.4,133831.0571,86781.6
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MO,35,242562.8857,78530.25714,72066.51429
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,AZ,36,418872.6667,93305.13889,79295.80556
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MI,36,419013.4167,102625.1389,91207.69444
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MD,38,202186.4474,186271.4211,185409.3158
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,TN,40,379576.7,84355.9,73558.25
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,GA,41,430784.6829,100924.6829,67336.29268
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,IL,42,553513.9524,164199.5714,94251.09524
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NC,46,334416.6304,96308.84783,73413.91304
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,LA,47,462962.0426,100083.2553,72432.44681
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NY,56,518559.6429,131523.4464,109536.375
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,OH,61,493761.7213,106641.3934,81000.98361
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MA,67,453333.0299,126347.1343,107064.7761
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,FL,79,504307.9747,122402.3418,90978.94937
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,PA,81,699022.8519,114140.5679,82965.85185
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,TX,147,481719.1361,106395.3537,75951.7551
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CA,157,1173518.796,190935.6369,172116.7006
LIVER TRANSPLANT W/O MCC,IL,13,286321.3846,55918.46154,37496.53846
LIVER TRANSPLANT W/O MCC,MN,13,238469.5385,56375.53846,42417.53846
LIVER TRANSPLANT W/O MCC,WI,13,348074.4615,67522.23077,42125.84615
LIVER TRANSPLANT W/O MCC,GA,14,278103.1429,63918.57143,28112.78571
LIVER TRANSPLANT W/O MCC,VA,14,351114.2143,74400.57143,37818.71429
LIVER TRANSPLANT W/O MCC,NC,15,211768.8,45121.93333,33002.26667
LIVER TRANSPLANT W/O MCC,KS,16,311322.4375,38254.875,26959.375
LIVER TRANSPLANT W/O MCC,MI,17,238493.5882,41151.76471,38502.52941
LIVER TRANSPLANT W/O MCC,AL,19,256126.2632,48291.10526,20857.1579
LIVER TRANSPLANT W/O MCC,MD,22,137058.5909,126853.3182,119431.0909
LIVER TRANSPLANT W/O MCC,MA,24,248464.7083,56585.375,41072.54167
LIVER TRANSPLANT W/O MCC,NY,26,449666.7692,70367.53846,47856.57692
LIVER TRANSPLANT W/O MCC,TN,26,263147.2308,38123.88462,35148.73077
LIVER TRANSPLANT W/O MCC,OH,31,320708.4516,52109.45161,33785.22581
LIVER TRANSPLANT W/O MCC,FL,35,303213.8571,68928.71429,30348.74286
LIVER TRANSPLANT W/O MCC,CA,38,541537,64299.89474,54072.55263
LIVER TRANSPLANT W/O MCC,PA,44,521838.5227,63188.20455,40678.36364
LIVER TRANSPLANT W/O MCC,TX,46,295101.2391,48926.47826,32217.36957
LUNG TRANSPLANT,OK,11,624859.0909,91644.63636,80178.90909
LUNG TRANSPLANT,KY,12,456163.3333,81215.08333,74804.41667
LUNG TRANSPLANT,MD,12,180407.4167,166204.25,165550.9167
LUNG TRANSPLANT,NY,12,626167.9167,163358.5833,119889
LUNG TRANSPLANT,CO,13,642224.4615,88833.07692,81540.15385
LUNG TRANSPLANT,VA,14,509601.2857,106337.3571,88275.85714
LUNG TRANSPLANT,NC,16,577971.5625,153640.8125,74742.3125
LUNG TRANSPLANT,WA,18,509582,189314.3889,69232.27778
LUNG TRANSPLANT,MN,23,577295.1739,140057.8696,114983.4348
LUNG TRANSPLANT,MI,24,542319.5,129109.0833,117992.6667
LUNG TRANSPLANT,IL,27,489744.963,89924,82969.40741
LUNG TRANSPLANT,MA,28,535144.2857,134088.3571,95629.21429
LUNG TRANSPLANT,MO,31,266838.2581,81082.87097,74544.96774
LUNG TRANSPLANT,AZ,36,614471.2222,90987.91667,77843.22222
LUNG TRANSPLANT,FL,43,539825.2093,96023.97674,76533.13954
LUNG TRANSPLANT,OH,46,465056.0217,88516.26087,74452.34783
LUNG TRANSPLANT,CA,50,967775.22,144864.5,134489.66
LUNG TRANSPLANT,TX,67,488410.5224,107889.5224,77317.29851
LUNG TRANSPLANT,PA,73,1064899.041,119044.9726,95017.16438
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,AZ,11,267327,67647.81818,32495.90909
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,KY,11,504389.5455,56769.54546,42850.18182
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,DC,12,403876.4167,101270.1667,25825.08333
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,IN,12,473519.8333,44577.25,41597.75
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,NY,12,362635.1667,98151.41667,39692.25
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,NC,14,319384.7857,94197.64286,22430.5
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,PA,14,604830.9286,73959.07143,39442
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,VA,14,451341.2143,62640.57143,56938.21429
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,GA,16,354240.625,80211.9375,36537.25
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,MN,16,316737.9375,74298.9375,40937.5
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,IL,18,390219,49359.16667,45646.94444
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,MD,18,212202.7778,195501.6667,194482.7778
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,OH,18,394932.7778,45100.88889,40681.11111
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,LA,19,410730.1053,56293.42105,38166
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,WI,29,353602.931,107147.1379,29667.96552
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,TX,32,374510.0625,80907.46875,29657.96875
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,FL,35,431564.5429,72525.48571,39827.17143
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,CA,42,661545.4524,68781.97619,60559.52381
PANCREAS TRANSPLANT,NY,11,256277.0909,48147.81818,34840.81818
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NV,12,472557.8333,70339.66667,66648.91667
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",UT,13,152928.3077,46652.23077,42833.84615
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MS,16,136747.125,43695.6875,38828.875
